"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"	"Ref File ID"
"-167"	"1"	"3197"	"F91"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_MS023_SDMA.raw"	"08/09/2020 19:37:16"	"0.01 - 80.01"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-167"	"1"	"3196"	"F90"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_MS023_MMA.raw"	"08/09/2020 16:54:05"	"0.01 - 80.04"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-167"	"1"	"3195"	"F89"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_MS023_ADMA.raw"	"08/09/2020 18:15:41"	"0.02 - 80.02"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-167"	"1"	"3194"	"F88"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_GSK591_SDMA.raw"	"08/09/2020 23:42:06"	"0.01 - 80.01"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-167"	"1"	"3193"	"F87"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_GSK591_MMA.raw"	"08/09/2020 20:58:53"	"0.01 - 80.01"	"Orbitrap Fusion"	"3.3.2782.34"	""
"-167"	"1"	"3192"	"F86"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_GSK591_ADMA.raw"	"08/09/2020 22:20:28"	"0.01 - 80.04"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-167"	"1"	"3191"	"F85"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_Control_SDMA.raw"	"08/09/2020 15:32:29"	"0.03 - 80.01"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-167"	"1"	"3190"	"F84"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_Control_MMA.raw"	"08/09/2020 12:49:14"	"0.01 - 80.04"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-167"	"1"	"3189"	"F83"	"C:\Users\stephanie\Desktop\Shechter Data\20200809_SML_Tryp_R1_Control_ADMA.raw"	"08/09/2020 14:10:52"	"0.01 - 80.03"	"Orbitrap Fusion"	"3.3.2782.34"	"F87"
"-170"	"1"	"1107"	"F44"	"C:\Users\stephanie\Desktop\New Folder\Arginine Shechter\Raw Data Replicates\20190613_SML_MS023_SDMA_Rep2.raw"	"06/14/2019 23:02:15"	"0.01 - 90.01"	"Orbitrap Fusion"	"3.0.2041"	"F23"
